Designator,Footprint,Quantity,Value,LCSC Part #
,462f2333-586c-4cc8-b04d-9995b911b9d8,1,,
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,12,1N4148,
"D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24",SK6812MINI-E_fixed,12,SK6812MINI-E,
J1,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,Conn_01x06_Socket,
"SW1, SW10, SW11, SW12, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,12,SW_Push_45deg,
U1,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,1,MOUDLE-SEEEDUINO-XIAO,
